file,bug,bf,loc,hcm,V1,V2,V3,V4,V5
org::eclipse::jdt::core::BindingKey,0,7,82,17.6471,149,156,0,550,54
org::eclipse::jdt::core::BufferChangedEvent,0,0,18,6.70304,101,50,1,1,102
org::eclipse::jdt::core::CheckDebugAttributes,0,3,50,10.4982,17,251,0,0,57
org::eclipse::jdt::core::ClasspathContainerInitializer,0,4,69,7.05208,189,1204,0,11,9
org::eclipse::jdt::core::ClasspathVariableInitializer,0,0,3,4.07501,30,106,0,3,0
org::eclipse::jdt::core::compiler::batch::BatchCompiler,0,1,6,2.2601,57,273,0,10,12
org::eclipse::jdt::core::compiler::BuildContext,0,3,56,3.92315,13,299,33,30,23
org::eclipse::jdt::core::compiler::CategorizedProblem,0,4,6,8.58795,162,514,5,79,0
org::eclipse::jdt::core::compiler::CharOperation,0,20,845,27.6193,5677,215,22,0,3273
org::eclipse::jdt::core::compiler::CompilationParticipant,1,5,24,12.3914,47,355,1,0,30
org::eclipse::jdt::core::compiler::CompilationProgress,0,1,0,0,34,176,0,0,0
org::eclipse::jdt::core::compiler::InvalidInputException,0,1,3,7.82241,15,33,0,0,0
org::eclipse::jdt::core::compiler::ReconcileContext,0,4,44,7.99162,191,474,0,5,10
org::eclipse::jdt::core::CompletionContext,1,14,123,10.2625,326,156,68,350,176
org::eclipse::jdt::core::CompletionFlags,0,1,6,0,29,0,0,13,10
org::eclipse::jdt::core::CompletionProposal,1,19,347,20.2197,3668,31,0,2626,148
org::eclipse::jdt::core::CompletionRequestor,0,10,79,13.4356,379,28,0,633,0
org::eclipse::jdt::core::CompletionRequestorAdapter,0,0,42,5.07933,20,0,0,308,5
org::eclipse::jdt::core::CorrectionEngine,1,6,128,13.0232,96,419,19,581,249
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,6,61,4.13346,561,0,0,70,0
org::eclipse::jdt::core::dom::Annotation,0,5,53,7.93371,318,0,0,51,0
org::eclipse::jdt::core::dom::AnnotationBinding,2,11,190,10.0587,69,131,2,597,31
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,6,98,6.84846,679,0,0,20,1
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,8,170,6.84846,1025,0,0,56,0
org::eclipse::jdt::core::dom::AnonymousClassDeclaration,0,7,53,7.95479,421,0,0,14,0
org::eclipse::jdt::core::dom::ArrayAccess,0,8,109,7.95479,578,0,1,0,47
org::eclipse::jdt::core::dom::ArrayCreation,0,9,110,9.64599,926,0,0,0,0
org::eclipse::jdt::core::dom::ArrayInitializer,0,5,45,7.95479,343,0,0,0,0
org::eclipse::jdt::core::dom::ArrayType,0,9,87,7.95479,534,0,0,26,0
org::eclipse::jdt::core::dom::AssertStatement,0,8,98,7.95479,589,0,0,0,0
org::eclipse::jdt::core::dom::Assignment,0,9,132,7.95479,983,0,168,0,0
org::eclipse::jdt::core::dom::AST,0,66,804,24.6967,7091,765,238,439,12
org::eclipse::jdt::core::dom::ASTConverter,1,196,1947,37.2855,3935,0,10595,6917,0
org::eclipse::jdt::core::dom::ASTMatcher,0,11,52,7.97103,7379,0,0,0,0
org::eclipse::jdt::core::dom::ASTNode,0,26,657,14.5995,6445,194,223,162,311
org::eclipse::jdt::core::dom::ASTParser,1,38,426,28.8029,1841,1833,494,336,72
org::eclipse::jdt::core::dom::ASTRecoveryPropagator,0,7,261,8.11626,289,16,1153,167,0
org::eclipse::jdt::core::dom::ASTRequestor,0,2,20,2.96868,204,46,0,114,2
org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator,0,6,62,6.89725,91,1,100,122,12
org::eclipse::jdt::core::dom::ASTVisitor,0,5,15,7.97103,5477,0,1,3,0
org::eclipse::jdt::core::dom::BindingComparator,0,19,3,18.3087,0,0,0,1299,0
org::eclipse::jdt::core::dom::BindingResolver,0,23,105,14.6512,1840,0,0,943,0
org::eclipse::jdt::core::dom::Block,0,5,47,7.95479,354,0,0,0,0
org::eclipse::jdt::core::dom::BlockComment,0,3,31,7.95479,263,0,0,0,2
org::eclipse::jdt::core::dom::BodyDeclaration,0,6,74,2.96868,668,0,0,0,0
org::eclipse::jdt::core::dom::BooleanLiteral,0,5,52,7.95479,341,0,0,0,0
org::eclipse::jdt::core::dom::BreakStatement,0,6,59,7.95479,395,1,0,0,0
org::eclipse::jdt::core::dom::CastExpression,0,8,106,7.95479,577,0,0,1,0
org::eclipse::jdt::core::dom::CatchClause,0,8,107,7.95479,605,0,0,0,0
org::eclipse::jdt::core::dom::CharacterLiteral,1,9,220,14.7589,588,0,88,0,202
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,0,1,14,6.70304,225,0,0,16,0
org::eclipse::jdt::core::dom::ChildPropertyDescriptor,0,1,18,6.70304,277,0,8,1,0
org::eclipse::jdt::core::dom::ClassInstanceCreation,0,14,208,9.64335,1558,0,0,33,0
org::eclipse::jdt::core::dom::Comment,0,0,24,4.07501,211,30,16,0,14
org::eclipse::jdt::core::dom::CompilationUnit,0,38,344,21.3966,2056,359,36,246,679
org::eclipse::jdt::core::dom::CompilationUnitResolver,0,54,282,29.1299,264,1932,230,1303,0
org::eclipse::jdt::core::dom::ConditionalExpression,0,8,141,7.95479,745,0,0,0,0
org::eclipse::jdt::core::dom::ConstructorInvocation,0,7,76,6.84846,592,0,0,32,0
org::eclipse::jdt::core::dom::ContinueStatement,0,6,59,7.95479,396,0,0,0,0
org::eclipse::jdt::core::dom::DefaultASTVisitor,0,7,15,7.76307,1316,0,1,0,0
org::eclipse::jdt::core::dom::DefaultBindingResolver,1,110,1106,31.5924,947,87,0,6128,0
org::eclipse::jdt::core::dom::DefaultCommentMapper,0,24,393,12.8915,535,0,830,1,728
org::eclipse::jdt::core::dom::DefaultValuePairBinding,0,5,20,1.66466,1,21,0,69,33
org::eclipse::jdt::core::dom::DocCommentParser,1,36,638,16.6898,123,1,1386,717,511
org::eclipse::jdt::core::dom::DoStatement,0,10,106,7.95479,615,0,0,0,0
org::eclipse::jdt::core::dom::EmptyStatement,0,5,29,7.95479,216,0,0,0,0
org::eclipse::jdt::core::dom::EnhancedForStatement,0,5,141,6.84846,766,0,0,0,0
org::eclipse::jdt::core::dom::EnumConstantDeclaration,0,9,141,8.43242,987,0,0,33,0
org::eclipse::jdt::core::dom::EnumDeclaration,0,8,118,6.84846,835,0,0,12,0
org::eclipse::jdt::core::dom::Expression,0,2,15,2.96868,209,0,60,60,4
org::eclipse::jdt::core::dom::ExpressionStatement,0,8,72,7.95479,435,0,0,0,0
org::eclipse::jdt::core::dom::FieldAccess,0,10,109,7.95479,683,0,0,92,0
org::eclipse::jdt::core::dom::FieldDeclaration,0,13,136,8.43242,953,0,0,0,0
org::eclipse::jdt::core::dom::ForStatement,0,11,117,7.95479,879,0,0,3,0
org::eclipse::jdt::core::dom::IfStatement,0,10,128,7.95479,830,0,0,0,0
org::eclipse::jdt::core::dom::ImportDeclaration,0,10,121,8.43242,815,0,0,24,0
org::eclipse::jdt::core::dom::InfixExpression,0,11,158,7.95479,1265,0,142,0,0
org::eclipse::jdt::core::dom::Initializer,0,11,125,6.84846,699,1,0,0,0
org::eclipse::jdt::core::dom::InstanceofExpression,0,8,106,7.95479,602,0,27,0,0
org::eclipse::jdt::core::dom::InternalASTRewrite,0,3,163,7.06348,703,128,0,0,33
org::eclipse::jdt::core::dom::Javadoc,0,8,108,6.84846,702,0,81,0,36
org::eclipse::jdt::core::dom::LabeledStatement,0,9,107,7.95479,632,0,3,0,3
org::eclipse::jdt::core::dom::LineComment,0,3,31,7.95479,217,0,0,4,27
org::eclipse::jdt::core::dom::MarkerAnnotation,0,4,54,5.59671,353,0,0,0,0
org::eclipse::jdt::core::dom::MemberRef,0,3,95,6.70304,611,0,2,42,0
org::eclipse::jdt::core::dom::MemberValuePair,0,6,109,8.03932,633,0,0,20,0
org::eclipse::jdt::core::dom::MemberValuePairBinding,0,6,152,3.42644,0,22,122,314,88
org::eclipse::jdt::core::dom::Message,0,2,27,5.26021,52,3,0,114,92
org::eclipse::jdt::core::dom::MethodBinding,0,59,290,34.7321,0,23,0,1111,1
org::eclipse::jdt::core::dom::MethodDeclaration,0,15,319,7.18067,2399,0,1,144,0
org::eclipse::jdt::core::dom::MethodInvocation,0,11,137,8.63149,1000,0,0,41,0
org::eclipse::jdt::core::dom::MethodRef,0,3,109,6.70304,742,0,0,50,0
org::eclipse::jdt::core::dom::MethodRefParameter,0,5,121,5.59671,819,0,0,91,0
org::eclipse::jdt::core::dom::Modifier,0,6,96,7.27499,1216,11,40,128,0
org::eclipse::jdt::core::dom::Name,0,2,22,6.70304,173,0,0,31,24
org::eclipse::jdt::core::dom::NodeEventHandler,0,2,43,6.44569,538,0,34,0,0
org::eclipse::jdt::core::dom::NodeSearcher,0,1,11,4.07501,0,0,107,104,0
org::eclipse::jdt::core::dom::NormalAnnotation,0,4,67,5.59671,498,0,0,0,6
org::eclipse::jdt::core::dom::NullLiteral,0,5,31,7.95479,214,0,1,0,0
org::eclipse::jdt::core::dom::NumberLiteral,0,7,97,10.8068,348,0,194,0,0
org::eclipse::jdt::core::dom::PackageBinding,0,18,155,19.5611,17,154,0,475,1
org::eclipse::jdt::core::dom::PackageDeclaration,0,11,130,9.21914,824,6,0,26,0
org::eclipse::jdt::core::dom::ParameterizedType,0,6,88,6.78585,498,0,0,98,0
org::eclipse::jdt::core::dom::ParenthesizedExpression,0,8,71,7.95479,416,0,0,0,0
org::eclipse::jdt::core::dom::PostfixExpression,0,8,96,7.95479,689,0,14,0,0
org::eclipse::jdt::core::dom::PrefixExpression,0,8,97,7.95479,717,0,54,0,0
org::eclipse::jdt::core::dom::PrimitiveType,0,7,59,7.95479,665,1,0,5,0
org::eclipse::jdt::core::dom::QualifiedName,0,14,110,6.36941,653,0,0,0,0
org::eclipse::jdt::core::dom::QualifiedType,0,6,107,6.78585,685,0,0,2,0
org::eclipse::jdt::core::dom::RecoveredTypeBinding,0,10,402,7.87568,141,166,10,1360,1
org::eclipse::jdt::core::dom::RecoveredVariableBinding,0,4,87,2.38353,25,0,19,158,0
org::eclipse::jdt::core::dom::ReturnStatement,0,6,60,7.95479,392,0,0,0,0
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,1,13,281,22.3224,2208,380,0,0,102
org::eclipse::jdt::core::dom::rewrite::ImportRewrite,0,7,356,8.98775,1461,929,22,1643,0
org::eclipse::jdt::core::dom::rewrite::ListRewrite,0,3,128,8.43424,1477,0,52,0,60
org::eclipse::jdt::core::dom::rewrite::TargetSourceRangeComputer,0,2,11,5.76357,204,54,0,31,75
org::eclipse::jdt::core::dom::SimpleName,0,13,124,10.6043,599,0,112,32,28
org::eclipse::jdt::core::dom::SimplePropertyDescriptor,0,1,14,6.70304,198,1,7,3,0
org::eclipse::jdt::core::dom::SimpleType,0,9,72,7.95479,440,0,0,4,0
org::eclipse::jdt::core::dom::SingleMemberAnnotation,0,5,87,5.59671,533,0,2,0,0
org::eclipse::jdt::core::dom::SingleVariableDeclaration,0,13,257,6.84846,1595,0,5,39,0
org::eclipse::jdt::core::dom::Statement,0,7,48,4.07501,260,0,237,0,13
org::eclipse::jdt::core::dom::StringLiteral,1,10,166,11.4275,643,0,119,1,82
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,0,1,44,6.70304,299,0,22,0,0
org::eclipse::jdt::core::dom::SuperConstructorInvocation,0,8,101,6.84846,801,0,0,17,0
org::eclipse::jdt::core::dom::SuperFieldAccess,0,10,96,7.95479,586,0,0,73,0
org::eclipse::jdt::core::dom::SuperMethodInvocation,0,11,136,8.63149,1005,0,0,37,0
org::eclipse::jdt::core::dom::SwitchCase,0,9,75,7.95479,467,0,0,0,0
org::eclipse::jdt::core::dom::SwitchStatement,0,9,86,9.21692,556,0,4,0,0
org::eclipse::jdt::core::dom::SynchronizedStatement,0,8,106,7.95479,569,0,0,0,0
org::eclipse::jdt::core::dom::TagElement,0,9,70,7.95479,849,0,6,38,217
org::eclipse::jdt::core::dom::TextElement,0,5,63,10.4485,412,1,5,2,1
org::eclipse::jdt::core::dom::ThisExpression,0,8,59,7.95479,407,0,0,0,0
org::eclipse::jdt::core::dom::ThrowStatement,0,8,72,7.95479,406,0,0,0,0
org::eclipse::jdt::core::dom::TryStatement,0,8,108,7.95479,652,0,0,0,0
org::eclipse::jdt::core::dom::Type,0,2,24,2.96868,258,0,0,116,0
org::eclipse::jdt::core::dom::TypeBinding,1,89,952,33.5493,0,258,0,3336,0
org::eclipse::jdt::core::dom::TypeDeclaration,0,18,303,10.2923,1925,0,0,294,0
org::eclipse::jdt::core::dom::TypeDeclarationStatement,0,12,123,9.21914,812,0,0,82,0
org::eclipse::jdt::core::dom::TypeLiteral,0,8,72,7.95479,420,0,0,0,0
org::eclipse::jdt::core::dom::TypeParameter,0,5,91,8.43242,562,0,0,85,0
org::eclipse::jdt::core::dom::VariableBinding,0,32,232,20.5304,4,29,0,736,30
org::eclipse::jdt::core::dom::VariableDeclaration,0,3,15,4.07501,384,0,0,21,0
org::eclipse::jdt::core::dom::VariableDeclarationExpression,0,11,156,6.84846,1148,0,0,0,0
org::eclipse::jdt::core::dom::VariableDeclarationFragment,0,10,127,7.95479,801,0,0,26,0
org::eclipse::jdt::core::dom::VariableDeclarationStatement,0,11,155,6.84846,1158,0,0,0,0
org::eclipse::jdt::core::dom::WhileStatement,0,9,106,7.95479,612,0,0,0,0
org::eclipse::jdt::core::dom::WildcardType,0,4,80,6.84846,655,0,0,49,0
org::eclipse::jdt::core::ElementChangedEvent,0,0,10,7.70736,118,234,2,1,0
org::eclipse::jdt::core::Flags,0,2,95,7.83265,762,56,0,196,19
org::eclipse::jdt::core::formatter::CodeFormatter,0,13,3,10.425,382,103,109,0,223
org::eclipse::jdt::core::formatter::CodeFormatterApplication,0,6,200,12.4195,0,733,30,22,301
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants,2,62,177,26.6608,17,177,14448,0,3
org::eclipse::jdt::core::formatter::IndentManipulation,0,3,235,6.49924,581,128,156,0,579
org::eclipse::jdt::core::JavaConventions,1,24,219,18.7552,562,2659,192,15,10
org::eclipse::jdt::core::JavaCore,4,172,1058,45.5046,1087,20612,830,694,0
org::eclipse::jdt::core::JavaModelException,0,3,52,6.00951,25,470,1,0,16
org::eclipse::jdt::core::jdom::DOMException,0,1,3,4.07501,16,43,0,0,9
org::eclipse::jdt::core::jdom::DOMFactory,0,3,52,8.22982,114,54,0,56,154
org::eclipse::jdt::core::JDTCompilerAdapter,0,30,21,15.5832,5,1822,2,192,120
org::eclipse::jdt::core::NamingConventions,2,9,142,9.2993,711,2595,0,690,0
org::eclipse::jdt::core::search::FieldDeclarationMatch,0,0,3,4.07501,36,38,0,7,4
org::eclipse::jdt::core::search::FieldReferenceMatch,1,3,11,6.22874,64,64,0,50,30
org::eclipse::jdt::core::search::LocalVariableDeclarationMatch,0,0,3,4.07501,39,38,0,0,14
org::eclipse::jdt::core::search::LocalVariableReferenceMatch,0,2,12,4.07501,51,65,0,55,48
org::eclipse::jdt::core::search::MethodDeclarationMatch,0,0,3,4.07501,43,34,0,0,8
org::eclipse::jdt::core::search::MethodReferenceMatch,1,9,13,9.97058,220,86,0,126,12
org::eclipse::jdt::core::search::PackageDeclarationMatch,0,0,3,4.07501,35,41,0,0,5
org::eclipse::jdt::core::search::PackageReferenceMatch,1,2,3,6.65039,54,29,1,16,16
org::eclipse::jdt::core::search::ReferenceMatch,1,1,10,0,209,89,0,67,41
org::eclipse::jdt::core::search::SearchDocument,1,2,16,4.07501,63,225,0,0,37
org::eclipse::jdt::core::search::SearchEngine,0,41,54,23.9899,2778,2422,0,591,0
org::eclipse::jdt::core::search::SearchMatch,0,13,111,8.50274,474,271,0,84,51
org::eclipse::jdt::core::search::SearchParticipant,0,11,30,13.6626,178,629,0,2,20
org::eclipse::jdt::core::search::SearchPattern,1,37,1126,28.279,5291,612,413,2034,379
org::eclipse::jdt::core::search::SearchRequestor,0,1,12,4.07501,98,104,0,0,0
org::eclipse::jdt::core::search::TypeDeclarationMatch,0,0,3,4.07501,40,39,0,0,6
org::eclipse::jdt::core::search::TypeNameMatch,0,10,23,5.79221,77,165,0,132,0
org::eclipse::jdt::core::search::TypeNameMatchRequestor,0,3,0,1.78303,80,29,0,43,0
org::eclipse::jdt::core::search::TypeNameRequestor,0,3,3,5.99114,71,91,0,44,0
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch,0,1,3,3.29051,47,38,1,0,4
org::eclipse::jdt::core::search::TypeParameterReferenceMatch,0,1,4,3.29051,59,34,0,27,6
org::eclipse::jdt::core::search::TypeReferenceMatch,2,6,16,8.6615,112,72,3,61,32
org::eclipse::jdt::core::Signature,1,37,841,26.5988,1859,0,45,3499,3058
org::eclipse::jdt::core::ToolFactory,0,15,63,17.0375,184,919,470,1,570
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter,1,0,612,4.07501,0,0,0,0,1886
org::eclipse::jdt::core::util::ClassFileBytesDisassembler,0,2,0,3.83244,6,24,0,9,148
org::eclipse::jdt::core::util::ClassFormatException,0,0,3,4.07501,0,15,0,19,39
org::eclipse::jdt::core::util::CompilationUnitSorter,0,5,19,14.6865,1365,439,0,50,0
org::eclipse::jdt::core::util::OpcodeStringValues,1,2,0,7.48389,1,0,0,0,1271
org::eclipse::jdt::core::WorkingCopyOwner,0,3,17,15.6356,121,717,1,3,0
org::eclipse::jdt::internal::antadapter::AntAdapterMessages,0,1,12,4.07501,4,100,0,0,3
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc,0,1,222,5.0061,122,0,0,852,0
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser,0,26,768,15.3647,148,0,1867,1589,69
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeDetector,0,3,29,9.58612,241,0,358,582,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound,0,1,3,6.94335,32,0,7,88,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair,0,0,32,0,0,0,39,118,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationOfType,0,3,10,3.00217,0,0,11,70,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnArgumentName,0,2,27,4.07501,8,2,0,121,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,0,1,23,2.36846,0,5,60,37,10
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,0,0,17,4.07501,0,0,27,75,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,0,0,41,4.07501,0,0,28,135,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldName,0,2,20,7.8386,0,0,0,97,4
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldType,0,1,14,4.07501,0,0,12,103,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference,0,0,12,4.07501,0,5,26,45,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocAllocationExpression,0,4,56,4.01609,0,0,48,124,58
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference,0,4,76,3.58431,0,0,7,333,58
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,0,3,56,1.5732,0,0,0,169,59
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference,0,7,17,3.58431,21,0,0,146,3
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference,0,3,56,1.5732,1,0,15,178,44
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocSingleTypeReference,0,3,55,1.5732,0,0,0,190,40
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag,1,3,115,4.63008,0,0,101,309,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,0,3,17,3.58431,0,0,1,166,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1,0,2,23,6.93237,0,0,36,61,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2,0,2,18,8.05174,0,0,36,32,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,0,2,21,6.93237,0,0,47,43,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnLocalName,0,2,25,6.20089,0,0,18,93,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMarkerAnnotationName,0,1,15,6.94335,1,0,0,107,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess,0,3,38,9.27985,13,0,3,188,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,0,0,9,0,0,2,24,39,10
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSend,0,2,41,10.696,0,0,16,166,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName,0,2,44,2.07169,5,0,0,169,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName,0,0,31,4.07501,0,0,6,100,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,0,1,12,4.07501,0,0,1,62,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter,0,1,22,7.8386,0,0,0,105,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference,0,0,12,5.19438,0,0,29,53,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference,0,2,67,9.69849,0,0,44,270,7
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,0,0,32,4.07501,0,0,29,161,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference,0,5,36,14.5866,0,0,31,151,8
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,0,3,63,12.2036,0,0,62,166,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,0,3,17,9.52046,0,0,13,123,8
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference,0,5,63,12.52,29,0,16,187,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral,0,1,13,0,0,9,44,62,18
org::eclipse::jdt::internal::codeassist::complete::CompletionParser,1,102,4390,37.9039,6,0,12964,3303,0
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,0,24,796,19.3371,0,0,894,3,1360
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation,0,0,3,4.07501,0,12,10,33,20
org::eclipse::jdt::internal::codeassist::CompletionElementNotifier,0,1,136,0,0,8,0,761,0
org::eclipse::jdt::internal::codeassist::CompletionEngine,7,205,7341,48.228,2,60,687,34596,338
org::eclipse::jdt::internal::codeassist::CompletionRequestorWrapper,1,0,306,4.07501,26,0,0,955,1
org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor,0,2,128,1.29357,0,221,23,638,0
org::eclipse::jdt::internal::codeassist::impl::AssistAnnotation,0,1,7,0,0,56,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistCompilationUnit,0,1,21,0,0,128,0,18,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer,0,1,10,0,3,58,6,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration,0,1,7,0,0,47,9,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistInitializer,0,1,13,0,0,74,1,16,0
org::eclipse::jdt::internal::codeassist::impl::AssistOptions,0,8,155,14.1631,0,477,127,111,0
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration,0,1,10,0,0,47,0,15,5
org::eclipse::jdt::internal::codeassist::impl::AssistParser,0,34,1384,21.8696,2,0,4651,621,4
org::eclipse::jdt::internal::codeassist::impl::AssistSourceField,0,2,41,1.29357,0,108,0,84,0
org::eclipse::jdt::internal::codeassist::impl::AssistSourceMethod,0,2,44,1.29357,0,112,0,102,2
org::eclipse::jdt::internal::codeassist::impl::AssistSourceType,0,3,59,2.35255,0,150,0,147,0
org::eclipse::jdt::internal::codeassist::impl::AssistTypeParameter,0,1,7,0,0,54,0,6,0
org::eclipse::jdt::internal::codeassist::impl::Engine,1,20,230,20.393,0,21,44,860,0
org::eclipse::jdt::internal::codeassist::InternalCompletionContext,1,12,48,9.68336,0,27,47,159,6
org::eclipse::jdt::internal::codeassist::InternalCompletionProposal,1,5,127,10.0703,2,25,0,395,0
org::eclipse::jdt::internal::codeassist::InternalExtendedCompletionContext,2,4,648,2.38886,0,238,0,2294,0
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser,0,3,186,2.51582,0,0,0,2240,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc,0,3,80,4.59811,64,0,0,346,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser,0,4,123,10.1241,47,0,264,343,0
org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound,0,2,4,4.07501,5,0,0,41,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnArgumentName,0,1,26,4.07501,0,0,0,113,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall,0,1,34,4.07501,0,0,14,115,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldReference,0,1,23,4.07501,0,1,7,129,0
